"gene"	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"
"ISG20"	"ISG20"	1.33206903189508e-36	-0.307612662990081	0.316	0.476	3.76922253265033e-32	"2"
"RAC2"	"RAC2"	9.64837627214049e-36	-0.284520509444407	0.388	0.556	2.73010454996487e-31	"2"
"SUB1.1"	"SUB1"	1.1828092875767e-35	-0.278222884512383	0.329	0.493	3.34687716012704e-31	"2"
"KLF2.1"	"KLF2"	2.12023337529277e-35	-0.506808581673725	0.292	0.434	5.99941235872841e-31	"2"
"PRDX1"	"PRDX1"	4.81992036557892e-35	-0.28231233136259	0.213	0.356	1.36384466664421e-30	"2"
"ICAM3"	"ICAM3"	2.51518663372202e-34	-0.258994851488572	0.199	0.338	7.11697209877982e-30	"2"
"CAP1"	"CAP1"	4.99672701857041e-34	-0.265235646203619	0.225	0.371	1.41387387717468e-29	"2"
"CLIC1"	"CLIC1"	5.03681347326157e-34	-0.271337659753002	0.446	0.615	1.42521674039409e-29	"2"
"LCP1"	"LCP1"	5.57727410884041e-34	-0.272164020703061	0.226	0.369	1.57814548183748e-29	"2"
"CREM.1"	"CREM"	2.19914843322081e-33	-0.364586467221666	0.118	0.227	6.22271040664161e-29	"2"
"PSME2"	"PSME2"	4.25322046215159e-33	-0.258644410366847	0.192	0.325	1.20349126197041e-28	"2"
"YPEL5.1"	"YPEL5"	4.73488388789864e-33	-0.258880129376736	0.301	0.452	1.3397827449198e-28	"2"
"COTL1"	"COTL1"	1.47988207385109e-31	-0.27485742656964	0.42	0.584	4.18747431616905e-27	"2"
"ZFP36.1"	"ZFP36"	1.72263223605365e-31	-0.296635781693462	0.373	0.524	4.87436017513741e-27	"2"
"SLC25A5"	"SLC25A5"	3.01763246530621e-31	-0.256536889133492	0.236	0.375	8.53869282383046e-27	"2"
"SDCBP"	"SDCBP"	4.03263930746554e-31	-0.253776226124335	0.173	0.297	1.14107561844045e-26	"2"
"GAPDH"	"GAPDH"	6.09416433396232e-31	-0.280431747979541	0.642	0.789	1.72440473993798e-26	"2"
"ATP5B"	"ATP5B"	1.88421703123705e-30	-0.260540727870642	0.171	0.293	5.33158051158835e-26	"2"
"IGHD.1"	"IGHD"	5.63569506994218e-30	-0.368787234743216	0.123	0.227	1.59467627699084e-25	"2"
"LY6E"	"LY6E"	3.04447840449893e-29	-0.272656811187314	0.138	0.247	8.61465609337018e-25	"2"
"DUSP4.1"	"DUSP4"	3.54394079439288e-29	-0.366843361992249	0.043	0.118	1.00279348718141e-24	"2"
"IER2"	"IER2"	6.09336547886251e-29	-0.259150643795795	0.147	0.257	1.72417869589894e-24	"2"
"CD72.1"	"CD72"	9.9635495142529e-29	-0.290020788864893	0.046	0.121	2.819285970553e-24	"2"
"BASP1"	"BASP1"	1.00090542768323e-28	-0.262870568420663	0.16	0.273	2.83216199817246e-24	"2"
"DUSP2.1"	"DUSP2"	2.09158270826586e-28	-0.399503204405473	0.202	0.32	5.91834243130908e-24	"2"
"CALM2"	"CALM2"	1.06635051005601e-27	-0.261958389121431	0.531	0.686	3.0173454032545e-23	"2"
"RGS2.1"	"RGS2"	1.17710553971804e-27	-0.339159379701402	0.257	0.381	3.33073783518615e-23	"2"
"NR4A2.1"	"NR4A2"	1.54854305029447e-27	-0.261498735476327	0.32	0.453	4.38175741511325e-23	"2"
"CKS2"	"CKS2"	3.41393284848912e-26	-0.25194955408387	0.111	0.207	9.66006438808481e-22	"2"
"CCR7.1"	"CCR7"	9.86307163048635e-26	-0.261714996003706	0.195	0.309	2.79085474856242e-21	"2"
"FCER2.1"	"FCER2"	6.33626716904922e-24	-0.317638520176746	0.06	0.131	1.79291015815417e-19	"2"
"SRGN.1"	"SRGN"	8.3726332023067e-24	-0.26691356307216	0.491	0.625	2.3691202909247e-19	"2"
"ISG15.1"	"ISG15"	3.47931775614805e-21	-0.336524591350925	0.083	0.157	9.84507752279653e-17	"2"
"CLEC2B.1"	"CLEC2B"	4.47670931739498e-21	-0.255903578893985	0.056	0.121	1.26672966845008e-16	"2"
"TRAC.1"	"TRAC"	9.83300907723562e-21	-0.253258035886081	0.126	0.212	2.78234824849459e-16	"2"
"RGCC.1"	"RGCC"	3.65054672121655e-20	-0.310569094061625	0.099	0.175	1.03295870023543e-15	"2"
"MT-ND2"	"MT-ND2"	6.01780176543476e-18	0.283029997231742	0.958	0.966	1.70279718754742e-13	"2"
"HOPX.2"	"HOPX"	1.49137285075363e-16	-0.365908741794101	0.088	0.149	4.21998861849246e-12	"2"
"NR4A2.2"	"NR4A2"	1.14729539333804e-247	0.982831454546061	0.718	0.393	3.24638704498931e-243	"3"
"CD83.2"	"CD83"	5.98758248421891e-185	0.809891368756017	0.773	0.496	1.69424633973458e-180	"3"
"CD69.3"	"CD69"	2.69085657235192e-180	0.840031421062432	0.92	0.719	7.61404775712699e-176	"3"
"TNFSF9"	"TNFSF9"	2.70318781945851e-147	0.711236551506062	0.205	0.059	7.6489402539398e-143	"3"
"RGS2.2"	"RGS2"	2.09907954975377e-135	0.852607408824079	0.571	0.334	5.93955549398328e-131	"3"
"ZFP36.2"	"ZFP36"	1.07726102953597e-132	0.769680928353558	0.707	0.474	3.04821780917497e-128	"3"
"ZNF331.2"	"ZNF331"	1.53489509880219e-122	0.775729112389085	0.467	0.249	4.34313917157067e-118	"3"
"CXCR4.1"	"CXCR4"	2.25826201899336e-116	0.422782693050803	0.99	0.936	6.38997820894361e-112	"3"
"NR4A1.1"	"NR4A1"	5.41367615235616e-116	0.757741073690665	0.393	0.195	1.5318538040707e-111	"3"
"H3F3B"	"H3F3B"	3.89303385443675e-115	0.502259545112899	0.957	0.847	1.10157285945142e-110	"3"
"GPR183"	"GPR183"	4.06299740984652e-113	0.620068645354946	0.794	0.587	1.14966574709017e-108	"3"
"SRGN.2"	"SRGN"	5.08979028077556e-107	0.583430113004214	0.788	0.58	1.44020705784825e-102	"3"
"LY9.2"	"LY9"	7.86240546976725e-104	0.578479809557429	0.535	0.317	2.22474625172534e-99	"3"
"JUNB.3"	"JUNB"	4.96601750401018e-102	0.549554240454142	0.874	0.721	1.40518431293472e-97	"3"
"AC079767.4.2"	"AC079767.4"	1.76609103605613e-100	0.616774549346714	0.358	0.177	4.99733119562442e-96	"3"
"KDM6B.1"	"KDM6B"	2.94779794696946e-93	0.488639123879347	0.323	0.155	8.34108907074478e-89	"3"
"NFKBID.1"	"NFKBID"	9.80272660067179e-90	0.624019565482602	0.343	0.176	2.77377951892609e-85	"3"
"ZFP36L2.1"	"ZFP36L2"	1.50325254543909e-88	0.469250570164581	0.873	0.725	4.25360340257445e-84	"3"
"SAT1.1"	"SAT1"	5.72265006846706e-87	0.510554085655975	0.846	0.679	1.61928106337344e-82	"3"
"YPEL5.2"	"YPEL5"	1.30128756625213e-85	0.502096558906189	0.609	0.405	3.68212329746704e-81	"3"
"SAMSN1"	"SAMSN1"	4.20416209615467e-83	0.528339760534668	0.481	0.29	1.18960970672793e-78	"3"
"HERPUD1.2"	"HERPUD1"	3.67375577097898e-81	0.521497225868949	0.762	0.574	1.03952593295621e-76	"3"
"DUSP2.2"	"DUSP2"	1.02925626319965e-78	0.72430983046096	0.462	0.281	2.91238352234973e-74	"3"
"FOSB"	"FOSB"	3.68466317028304e-78	0.526846483919372	0.565	0.372	1.04261229066329e-73	"3"
"RGS1.2"	"RGS1"	2.80327954491927e-74	0.673803979857578	0.724	0.55	7.93215980030358e-70	"3"
"TMSB10.1"	"TMSB10"	6.87401693745285e-70	-0.398978285944492	0.954	0.947	1.94507183262166e-65	"3"
"TGIF1.1"	"TGIF1"	7.40898351392484e-70	0.523138169378737	0.296	0.155	2.09644597510017e-65	"3"
"PMAIP1.2"	"PMAIP1"	1.18099782072334e-69	0.555147407261454	0.427	0.259	3.34175143351877e-65	"3"
"SIDT1"	"SIDT1"	2.0160608663207e-69	0.385792311987953	0.252	0.12	5.70464582734106e-65	"3"
"MCL1"	"MCL1"	2.44839543757754e-69	0.479851572974296	0.523	0.34	6.92797973016941e-65	"3"
"NR4A3"	"NR4A3"	2.57880467757074e-67	0.39406937497382	0.109	0.034	7.29698571565417e-63	"3"
"AREG.1"	"AREG"	2.47174957258607e-66	0.579243873407849	0.363	0.208	6.99406259058954e-62	"3"
"SKIL"	"SKIL"	2.07917636601274e-65	0.464879557379309	0.407	0.246	5.88323744526966e-61	"3"
"HLA-DPB1.1"	"HLA-DPB1"	3.26733001085206e-65	-0.36999686497112	0.942	0.936	9.24523699870698e-61	"3"
"IL6"	"IL6"	5.02466728121457e-64	0.666205319008964	0.119	0.04	1.42177985389247e-59	"3"
"LDLRAD4"	"LDLRAD4"	3.78688216783936e-63	0.470770261960059	0.287	0.152	1.07153617821183e-58	"3"
"BTG1.1"	"BTG1"	7.35456414981342e-62	0.27894275555608	0.99	0.956	2.08104747183121e-57	"3"
"VPS37B.1"	"VPS37B"	2.38561720521341e-61	0.422282294967589	0.324	0.181	6.75034244387188e-57	"3"
"MIDN"	"MIDN"	1.01829457019072e-59	0.440417787632065	0.318	0.18	2.88136631581165e-55	"3"
"DUSP1.1"	"DUSP1"	3.32374216325974e-59	0.345752833418514	0.92	0.794	9.40486082515976e-55	"3"
"RASGEF1B.1"	"RASGEF1B"	5.15020900562503e-59	0.42122092051297	0.273	0.144	1.45730314023166e-54	"3"
"BTG2"	"BTG2"	1.24112466168998e-58	0.460402565062759	0.408	0.255	3.51188634271797e-54	"3"
"AC104024.1"	"AC104024.1"	1.54840604586348e-54	0.400885024073591	0.114	0.042	4.3813697473753e-50	"3"
"MYC.1"	"MYC"	2.00501074292184e-54	0.725225126799649	0.251	0.135	5.67337839817165e-50	"3"
