"gene"	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"
"RICTOR"	1.00866602406875e-14	-0.64176929501239	0.011	0.168	2.85412138170495e-10	"12"
"PDE4B"	1.01956270521877e-14	-0.438593837509067	0.059	0.251	2.88495463068703e-10	"12"
"SRSF11"	1.21045628287402e-14	-0.411942024849372	0.088	0.296	3.42510709802032e-10	"12"
"RP11-796E2.4"	1.24003446687065e-14	-0.484097080668083	0.048	0.233	3.50880152745718e-10	"12"
"RPL15"	1.33746925293444e-14	0.339915333702039	0.972	0.985	3.7845029981033e-10	"12"
"TCF25"	1.38325252816828e-14	-0.363340173147639	0.079	0.283	3.91405135370498e-10	"12"
"TMEM59"	1.52148930335839e-14	-0.32258999897825	0.096	0.309	4.3052061327829e-10	"12"
"NFKBIA"	1.56669054573854e-14	-0.341756133430334	0.206	0.481	4.43310756822178e-10	"12"
"HSP90B1"	1.84322483744425e-14	-0.352159393049114	0.071	0.27	5.21558900003225e-10	"12"
"ACTR2"	1.92107233952982e-14	-0.350409679874101	0.124	0.353	5.43586629193358e-10	"12"
"TUBA1B"	2.14823894359179e-14	-0.30483760719773	0.119	0.344	6.07865691478732e-10	"12"
"RGS2"	2.22667246833528e-14	-0.546802338244901	0.153	0.384	6.30059241640149e-10	"12"
"RPL7A"	2.2910761230919e-14	0.508731147897571	0.901	0.955	6.48282899790083e-10	"12"
"AL928768.3"	2.33734232372408e-14	-0.896603877401754	0.116	0.322	6.61374383920967e-10	"12"
"RNF19A"	2.52775132650361e-14	-0.434067167408706	0.04	0.214	7.15252515347462e-10	"12"
"ZRANB2"	2.62247070632098e-14	-0.436266692865432	0.045	0.223	7.42054311060585e-10	"12"
"VOPP1"	2.63864079279457e-14	-0.423392707796394	0.054	0.239	7.46629798729152e-10	"12"
"MBD4"	2.7018048981597e-14	-0.395687575918061	0.065	0.256	7.64502713983268e-10	"12"
"CYCS"	3.00812762711794e-14	-0.273024745699191	0.181	0.449	8.51179793369293e-10	"12"
"FTL"	3.15094864884519e-14	0.476556242944816	0.932	0.972	8.91592429677236e-10	"12"
"CFLAR"	3.39443940699203e-14	-0.390325570628043	0.09	0.297	9.60490574602465e-10	"12"
"CLEC2D"	3.43338348906399e-14	-0.650568047092507	0.031	0.196	9.71510192065547e-10	"12"
"PMAIP1"	3.53967948446811e-14	-0.429058267998292	0.082	0.284	1.0015877069251e-09	"12"
"H2AFZ"	3.60705474097531e-14	-0.31688781234316	0.102	0.31	1.02065220950637e-09	"12"
"GABPB1"	3.6436278533815e-14	-0.48352690612144	0.045	0.219	1.03100093739283e-09	"12"
"FCRLA"	3.77718075512083e-14	-0.427212030387622	0.085	0.286	1.06879106646899e-09	"12"
"PHF20"	3.86106586076891e-14	-0.270675355343935	0.082	0.281	1.09252719596317e-09	"12"
"PCF11"	4.49298212474787e-14	-0.558919164489096	0.034	0.201	1.27133422201866e-09	"12"
"TMEM2"	5.16215601743034e-14	-0.659532863333009	0.02	0.176	1.46068366669209e-09	"12"
"SMAP2"	5.79498593803931e-14	-0.270846173088165	0.138	0.379	1.6397492210276e-09	"12"
"DDIT4"	6.05621529056653e-14	-0.307633671860911	0.15	0.385	1.71366667861871e-09	"12"
"GCC2"	6.1264673854908e-14	-0.378054995059168	0.096	0.298	1.73354521139848e-09	"12"
"PDIA3"	6.61066619525141e-14	-0.340007486858673	0.065	0.253	1.87055410660834e-09	"12"
"DNAJB14"	6.77148622899686e-14	-0.490939279349198	0.034	0.201	1.91605974335695e-09	"12"
"LAT2"	7.23380652560545e-14	-0.528706752162154	0.031	0.194	2.04687789448532e-09	"12"
"NCL"	7.51732611979121e-14	-0.259825850577051	0.178	0.431	2.12710259885612e-09	"12"
"THEMIS2"	7.75719969499058e-14	-0.411475625666128	0.042	0.215	2.19497722569453e-09	"12"
"XIST"	1.03648121045875e-13	-0.534060166064826	0.045	0.218	2.93282723311408e-09	"12"
"PSAP"	1.07387059364418e-13	-0.269006652070155	0.102	0.311	3.03862423177558e-09	"12"
"SEPT6"	1.11899634132188e-13	-0.353725646125096	0.13	0.35	3.1663120474044e-09	"12"
"RNMT"	1.12667110856655e-13	-0.429040653490248	0.045	0.217	3.18802856879992e-09	"12"
"RP1-313I6.12"	1.18120792940391e-13	-0.522814866851705	0.031	0.192	3.3423459570413e-09	"12"
"AREG"	1.51062597676387e-13	-0.674540701105274	0.054	0.228	4.27446726385104e-09	"12"
"RP11-138A9.1"	1.52992661408741e-13	-0.521392343667136	0.031	0.19	4.32908034722172e-09	"12"
"RPL21"	1.59190846782642e-13	0.312480995334187	0.983	0.992	4.50446420056164e-09	"12"
"RPS17"	2.17441375199238e-13	0.481388815374872	0.927	0.968	6.15272115263764e-09	"12"
"RPL37"	2.28605806968407e-13	0.384811655003987	0.924	0.97	6.46862991397805e-09	"12"
"HNRNPU"	2.45894537018485e-13	-0.303539541588304	0.116	0.328	6.95783181947505e-09	"12"
"ST6GAL1"	2.58162779807337e-13	-0.522267924169841	0.025	0.179	7.30497401742841e-09	"12"
"JUND"	2.72186686728595e-13	-0.428184973436428	0.138	0.355	7.70179448767233e-09	"12"
"YPEL5"	2.77401677261254e-13	-0.311799495963337	0.181	0.43	7.84935785978443e-09	"12"
"TMBIM4"	2.80887340948310e-13	-0.610248079875184	0.045	0.212	7.94798819947339e-09	"12"
"PTPN1"	2.85342117526681e-13	-0.345137093116627	0.076	0.268	8.07404055753497e-09	"12"
